dataset;spatial_class;geo_ontology
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/railroad_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/desert;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/cave;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/parking_site;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/commercial_site;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/heliport;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/barren_land;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/arroyo;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/sports_facility;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/flat;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/badland;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/natural_rock_formation;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/breakwater;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/disposal_site;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/thermal_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/plateau;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/monument;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/gap;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/park;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/arch_natural_formation_;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/museum_building;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/map_quadrangle_region;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/capital;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/medical_facility;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/aqueduct;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/channel;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/housing_area;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/shrubland;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/roadway;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/fjord;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/submarine_canyon;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/amusement_park;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/cirque;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/archaeological_site;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/lava_field;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/viewing_location;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/grassland;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/cliff;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/marina;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/recreational_facility;W3C Basic Geo
